"POST_CODE";"TARIFF_CODE";"VALID_FROM";"VALID_TO"
"1011";"1";"2010-01-01";"2010-12-31"
"1012";"1";"2010-01-01";"2010-12-31"
"1013";"1";"2010-01-01";"2010-12-31"
"1014";"1";"2010-01-01";"2010-12-31"
"1015";"1";"2010-01-01";"2010-12-31"
"1016";"1";"2010-01-01";"2010-12-31"
"1021";"1";"2010-01-01";"2010-12-31"
"1022";"1";"2010-01-01";"2010-12-31"
"1023";"1";"2010-01-01";"2010-12-31"
"1024";"1";"2010-01-01";"2010-12-31"
"1025";"1";"2010-01-01";"2010-12-31"
"1026";"1";"2010-01-01";"2010-12-31"
"1027";"1";"2010-01-01";"2010-12-31"
"1028";"1";"2010-01-01";"2010-12-31"
"1029";"1";"2010-01-01";"2010-12-31"
"1031";"1";"2010-01-01";"2010-12-31"
"1032";"1";"2010-01-01";"2010-12-31"
"1033";"1";"2010-01-01";"2010-12-31"
"1034";"1";"2010-01-01";"2010-12-31"
"1035";"1";"2010-01-01";"2010-12-31"
"1036";"1";"2010-01-01";"2010-12-31"
"1037";"1";"2010-01-01";"2010-12-31"
"1038";"1";"2010-01-01";"2010-12-31"
"1039";"1";"2010-01-01";"2010-12-31"
"1041";"1";"2010-01-01";"2010-12-31"
"1042";"1";"2010-01-01";"2010-12-31"
"1043";"1";"2010-01-01";"2010-12-31"
"1044";"1";"2010-01-01";"2010-12-31"
"1045";"1";"2010-01-01";"2010-12-31"
"1046";"1";"2010-01-01";"2010-12-31"
"1047";"1";"2010-01-01";"2010-12-31"
"1048";"1";"2010-01-01";"2010-12-31"
"1051";"1";"2010-01-01";"2010-12-31"
"1052";"1";"2010-01-01";"2010-12-31"
"1053";"1";"2010-01-01";"2010-12-31"
"1054";"1";"2010-01-01";"2010-12-31"
"1055";"1";"2010-01-01";"2010-12-31"
"1056";"1";"2010-01-01";"2010-12-31"
"1061";"1";"2010-01-01";"2010-12-31"
"1062";"1";"2010-01-01";"2010-12-31"
"1063";"1";"2010-01-01";"2010-12-31"
"1064";"1";"2010-01-01";"2010-12-31"
"1065";"1";"2010-01-01";"2010-12-31"
"1066";"1";"2010-01-01";"2010-12-31"
"1067";"1";"2010-01-01";"2010-12-31"
"1068";"1";"2010-01-01";"2010-12-31"
"1071";"1";"2010-01-01";"2010-12-31"
"1072";"1";"2010-01-01";"2010-12-31"
"1073";"1";"2010-01-01";"2010-12-31"
"1074";"1";"2010-01-01";"2010-12-31"
"1075";"1";"2010-01-01";"2010-12-31"
"1076";"1";"2010-01-01";"2010-12-31"
"1077";"1";"2010-01-01";"2010-12-31"
"1078";"1";"2010-01-01";"2010-12-31"
"1081";"1";"2010-01-01";"2010-12-31"
"1082";"1";"2010-01-01";"2010-12-31"
"1083";"1";"2010-01-01";"2010-12-31"
"1084";"1";"2010-01-01";"2010-12-31"
"1085";"1";"2010-01-01";"2010-12-31"
"1086";"1";"2010-01-01";"2010-12-31"
"1087";"1";"2010-01-01";"2010-12-31"
"1088";"1";"2010-01-01";"2010-12-31"
"1089";"1";"2010-01-01";"2010-12-31"
"1091";"1";"2010-01-01";"2010-12-31"
"1092";"1";"2010-01-01";"2010-12-31"
"1093";"1";"2010-01-01";"2010-12-31"
"1094";"1";"2010-01-01";"2010-12-31"
"1095";"1";"2010-01-01";"2010-12-31"
"1096";"1";"2010-01-01";"2010-12-31"
"1097";"1";"2010-01-01";"2010-12-31"
"1098";"1";"2010-01-01";"2010-12-31"
"1101";"1";"2010-01-01";"2010-12-31"
"1102";"1";"2010-01-01";"2010-12-31"
"1103";"1";"2010-01-01";"2010-12-31"
"1104";"1";"2010-01-01";"2010-12-31"
"1105";"1";"2010-01-01";"2010-12-31"
"1106";"1";"2010-01-01";"2010-12-31"
"1107";"1";"2010-01-01";"2010-12-31"
"1108";"1";"2010-01-01";"2010-12-31"
"1111";"1";"2010-01-01";"2010-12-31"
"1112";"1";"2010-01-01";"2010-12-31"
"1113";"1";"2010-01-01";"2010-12-31"
"1114";"1";"2010-01-01";"2010-12-31"
"1115";"1";"2010-01-01";"2010-12-31"
"1116";"1";"2010-01-01";"2010-12-31"
"1117";"1";"2010-01-01";"2010-12-31"
"1118";"1";"2010-01-01";"2010-12-31"
"1119";"1";"2010-01-01";"2010-12-31"
"1121";"1";"2010-01-01";"2010-12-31"
"1122";"1";"2010-01-01";"2010-12-31"
"1123";"1";"2010-01-01";"2010-12-31"
"1124";"1";"2010-01-01";"2010-12-31"
"1125";"1";"2010-01-01";"2010-12-31"
"1126";"1";"2010-01-01";"2010-12-31"
"1131";"1";"2010-01-01";"2010-12-31"
"1132";"1";"2010-01-01";"2010-12-31"
"1133";"1";"2010-01-01";"2010-12-31"
"1134";"1";"2010-01-01";"2010-12-31"
"1135";"1";"2010-01-01";"2010-12-31"
"1136";"1";"2010-01-01";"2010-12-31"
"1137";"1";"2010-01-01";"2010-12-31"
"1138";"1";"2010-01-01";"2010-12-31"
"1139";"1";"2010-01-01";"2010-12-31"
"1141";"1";"2010-01-01";"2010-12-31"
"1142";"1";"2010-01-01";"2010-12-31"
"1143";"1";"2010-01-01";"2010-12-31"
"1144";"1";"2010-01-01";"2010-12-31"
"1145";"1";"2010-01-01";"2010-12-31"
