"BM_CODE";"VALUE";"VALID_FROM";"VALID_TO";"VERSION"
"B12";"0.45";"2010-01-01";"2010-12-31";1
"B11";"0.47";"2010-01-01";"2010-12-31";1
"B10";"0.5";"2010-01-01";"2010-12-31";1
"B9";"0.55";"2010-01-01";"2010-12-31";1
"B8";"0.6";"2010-01-01";"2010-12-31";1
"B7";"0.65";"2010-01-01";"2010-12-31";1
"B6";"0.7";"2010-01-01";"2010-12-31";1
"B5";"0.75";"2010-01-01";"2010-12-31";1
"B4";"0.8";"2010-01-01";"2010-12-31";1
"B3";"0.85";"2010-01-01";"2010-12-31";1
"B2";"0.9";"2010-01-01";"2010-12-31";1
"B1";"0.95";"2010-01-01";"2010-12-31";1
"A0";"1.0";"2010-01-01";"2010-12-31";1
"M1";"1.15";"2010-01-01";"2010-12-31";1
"M2";"1.35";"2010-01-01";"2010-12-31";1
"M3";"1.6";"2010-01-01";"2010-12-31";1
"M4";"2.0";"2010-01-01";"2010-12-31";1
