"MAKE";"MAKECODE";"VALID_FROM";"VALID_TO"
"ARO";3;"1900-01-01";"9999-12-31"
"AVIA";18;"1900-01-01";"9999-12-31"
"BUGATTI";33;"1900-01-01";"9999-12-31"
"CADILLAC";12;"1900-01-01";"9999-12-31"
"CORVETTE";15;"1900-01-01";"9999-12-31"
"DODGE";22;"1900-01-01";"9999-12-31"
"GAZ";29;"1900-01-01";"9999-12-31"
"HUMMER";31;"1900-01-01";"9999-12-31"
"INFINITI";73;"1900-01-01";"9999-12-31"
"IVECO";99;"1900-01-01";"9999-12-31"
"JEEP";37;"1900-01-01";"9999-12-31"
"LINCOLN";67;"1900-01-01";"9999-12-31"
"LOTUS";59;"1900-01-01";"9999-12-31"
"MAHINDRA";43;"1900-01-01";"9999-12-31"
"MARUTI";41;"1900-01-01";"9999-12-31"
"MEGA";55;"1900-01-01";"9999-12-31"
"MERCURY";71;"1900-01-01";"9999-12-31"
"MG";52;"1900-01-01";"9999-12-31"
"MINI";54;"1900-01-01";"9999-12-31"
"MORGAN";57;"1900-01-01";"9999-12-31"
"MOSZKVICS";53;"1900-01-01";"9999-12-31"
"OLTCIT";58;"1900-01-01";"9999-12-31"
"PIAGGIO";63;"1900-01-01";"9999-12-31"
"PLYMOUTH";24;"1900-01-01";"9999-12-31"
"PONTIAC";74;"1900-01-01";"9999-12-31"
"SATURN";91;"1900-01-01";"9999-12-31"
"SHUANGHUAN";79;"1900-01-01";"9999-12-31"
"SMART";76;"1900-01-01";"9999-12-31"
"TALBOT";26;"1900-01-01";"9999-12-31"
"TATA";85;"1900-01-01";"9999-12-31"
"UAZ";98;"1900-01-01";"9999-12-31"
"VOLGA";89;"1900-01-01";"9999-12-31"
"WAUXHALL";61;"1900-01-01";"9999-12-31"
"YUGO";93;"1900-01-01";"9999-12-31"
"ZAZ";96;"1900-01-01";"9999-12-31"
